"filename", "language", "TypeScript", "Markdown", "Groovy", "JSON", "XML", "MS SQL", "JSON with Comments", "JavaScript", "HTML", "Python", "pip requirements", "Batch", "Shell Script", "CSS", "TypeScript JSX", "YAML", "Properties", "Java", "comment", "blank", "total"
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\lock-advisory.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 57
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\lock-deadlock-prevention.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 69
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\lock-short-transactions.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 51
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\lock-skip-locked.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\monitor-explain-analyze.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 46
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\monitor-pg-stat-statements.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\monitor-vacuum-analyze.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\query-composite-indexes.md", "Markdown", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 45
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\query-covering-indexes.md", "Markdown", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 41
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\query-index-types.md", "Markdown", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 49
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\query-missing-indexes.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 44
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\query-partial-indexes.md", "Markdown", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 46
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-constraints.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 81
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-data-types.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 47
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-foreign-key-indexes.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 60
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-lowercase-identifiers.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-partitioning.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\schema-primary-keys.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 62
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\security-privileges.md", "Markdown", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\security-rls-basics.md", "Markdown", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 51
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase-postgres-best-practices\references\security-rls-performance.md", "Markdown", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 58
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase\SKILL.md", "Markdown", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 113
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase\assets\feedback-issue-template.md", "Markdown", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.agents\skills\supabase\references\skill-feedback.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.claude\skills\react-doctor\SKILL.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.github\workflows\android_build.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 11, 54
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 18, 85
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\.windsurf\skills\react-doctor\SKILL.md", "Markdown", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 47
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\KNOWN_GAPS.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\PERFORMANCE_BASELINE.md", "Markdown", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\PRODUCTION_CHECKLIST.md", "Markdown", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\README.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 62
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\SMOKE_TEST.md", "Markdown", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 39
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\build.gradle", "Groovy", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\capacitor.build.gradle", "Groovy", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 1, 6, 27
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\java\com\omnoralabs\prime\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 3, 6
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 171
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 5, 19
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\build.gradle", "Groovy", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 30
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\capacitor.settings.gradle", "Groovy", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 15, 6, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 8
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\gradlew.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 32, 22, 95
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\settings.gradle", "Groovy", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\android\variables.gradle", "Groovy", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\audit-report.json", "JSON", 0, 0, 0, 205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 207
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\capacitor.config.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\create_icons.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 33
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\main.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 527, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 1, 589
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\electron\preload.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 60
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\dist-electron\src\lib\security\dbKeyManager.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\drizzle.config.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\ecosystem.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 30
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron-builder.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 5, 3, 56
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\main.ts", "TypeScript", 498, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 90, 649
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\preload.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 61
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\electron\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 20
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\lint_results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\next.config.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 13, 100
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\noxis_full_test_report.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 355
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\noxis_tester_sheet.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 167
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package-lock.json", "JSON", 0, 0, 0, 21689, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21690
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\package.json", "JSON", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 127
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\file.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\globe.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\next.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\sitemap.xml", "XML", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\vercel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\version.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\public\window.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check-columns.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 30
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_business.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_db.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\check_tables.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\find-dynamic-routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\init_db.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 78
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\seed_personas.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 55
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\test_persona.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 48
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch\verify_persona.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 42
"c:\Users\omnora\OneDrive\Desktop\new_system\omnora-prime-v13\scratch_setup_avatars.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 65
